,Price,Bedroom,Area,Title,Place,Post Timing,Finishing,House Type,Parking Type,Bathroom,Link
44,779900,3,,NEW LISTING 26208 LOUGHEED HIGHWAY MAPLE RIDGE,MAPLE RIDGE,2020-07-06T17:35:58-0700,unfurnished,house,NA,3,https://vancouver.craigslist.org/pml/reb/d/maple-ridge-new-listing-lougheed/7154717553.html
45,1680000,NA,NA,"BEAUTIFUL LAKEFRONT PROPERTY, B.C. CANADA, 2 ACRES, 2 COTTAGES","Rosen Lake, between Cranbrook and Fernie, BC",2020-07-10T11:05:32-0700,unfurnished,land,NA,3,https://vancouver.craigslist.org/van/reb/d/east-kootenays-beautiful-lakefront/7156941273.html
46,NA,NA,NA,Veranda Beach Building Lots,"Oroville, Wa",2020-07-10T10:57:40-0700,unfurnished,apartment,NA,3,https://vancouver.craigslist.org/nvn/reo/d/north-vancouver-northwest-central/7156935386.html
47,779000,2,1131,2 BED TOWNHOME -FIRST PUBLIC OPEN HOUSE THIS SUNDAY!,VANCOUVER- GRANVILLE ISLAND,2020-07-10T10:41:30-0700,unfurnished,townhouse,attached garage,1.5,https://vancouver.craigslist.org/van/reb/d/vancouver-2-bed-townhome-first-public/7156923371.html
48,314900,1,590,"Invest in Maple Ridge NEW PRICE $314,900",#404 22363 SELKIRK AVENUE,2020-07-10T10:34:47-0700,unfurnished,apartment,attached garage,1,https://vancouver.craigslist.org/pml/reb/d/maple-ridge-invest-in-maple-ridge-new/7156918238.html
49,555000,1,651,"Escape to Healthy Hawaii!! Oceanside resort/condo ""MAUI SUNSET""","Kihei, Maui, Hawaii",2020-07-10T10:15:44-0700,furnished,condo,street parking,2,https://vancouver.craigslist.org/van/reo/d/port-moody-escape-to-healthy-hawaii/7156903862.html
50,1549000,5,3044,Strawberry Hills Property!,Langley,2020-07-10T10:12:30-0700,unfurnished,house,NA,4,https://vancouver.craigslist.org/rds/reb/d/langley-strawberry-hills-property/7156901537.html
51,560000,3,1300,Surrey Townhouse for Sale. Rent to Own / Owner Finance Opportunity,Surrey,2020-07-10T09:56:30-0700,unfurnished,townhouse,detached garage,2.5,https://vancouver.craigslist.org/rds/reo/d/surrey-inner-northwest-surrey-townhouse/7156889708.html
52,559900,3,1435,Centrally Located Home!,Surrey,2020-07-10T09:47:31-0700,unfurnished,townhouse,NA,3,https://vancouver.craigslist.org/rds/reb/d/surrey-centrally-located-home/7156883171.html
53,1299000,7,3500,"17,438 Square foot lot Surrey",Surrey,2020-07-10T09:44:20-0700,unfurnished,house,NA,3.5,https://vancouver.craigslist.org/rds/reo/d/surrey-square-foot-lot-surrey/7156880840.html
54,538000,2,950,"2bath,14FL,Hi-rise,wood,balcony,Skytrain,T&T,#3,Lansdowne Mall","14th FL, 8248 Lansdowne Road, Richmond",2020-06-28T19:32:53-0700,unfurnished,apartment,attached garage,2,https://vancouver.craigslist.org/rch/reb/d/richmond-2bath14flhi/7150249654.html
55,338000,2,855,"1bath,wood FL,F/P,balcony,next to Mall/SFU/Skytrain/Bus,City Hall/T&T","13364 102 ave, Surrey",2020-06-27T16:01:39-0700,unfurnished,apartment,attached garage,1,https://vancouver.craigslist.org/rds/reb/d/surrey-1bathwood-flf-pbalconynext-to/7149647926.html
56,1,1,785,Newly renovated one bedroom,Ambleside West Vancouver,2020-07-07T14:47:40-0700,furnished,apartment,attached garage,1,https://vancouver.craigslist.org/nvn/reo/d/west-vancouver-south-newly-renovated/7155255601.html
57,369000,3,1100,"PRICED TO SELL, Motivated Seller, top floor 3 BR condo in Downtown PoC",Port Coquitlam,2020-07-10T09:30:49-0700,unfurnished,apartment,NA,1,https://vancouver.craigslist.org/pml/reo/d/port-coquitlam-south-priced-to-sell/7156870441.html
58,2388000,6,,Laneway Home!,Vancouver,2020-07-10T09:38:39-0700,unfurnished,house,attached garage,5,https://vancouver.craigslist.org/van/reb/d/vancouver-laneway-home/7156876426.html
59,619000,2,843,Delta Condo for Sale - #2808 - 11967 80th Ave.,Delta Rise,2020-07-10T09:28:44-0700,unfurnished,apartment,NA,2,https://vancouver.craigslist.org/rds/reb/d/delta-northeast-delta-condo-for-sale-th/7156869142.html
60,2180000,5,61,Luxurious Custom-Built Private Estate!,Surrey,2020-07-10T09:26:23-0700,unfurnished,house,NA,5,https://vancouver.craigslist.org/rds/reb/d/surrey-luxurious-custom-built-private/7156867352.html
61,1249000,6,3694,Open & Spacious Floor Plan!,Surrey,2020-07-10T09:10:45-0700,unfurnished,house,NA,5,https://vancouver.craigslist.org/rds/reb/d/surrey-open-spacious-floor-plan/7156855074.html
62,499800,2,1114,2 BED + 2 BATH HOME IN SOUTH SURREY!,Surrey,2020-06-24T14:18:54-0700,unfurnished,condo,NA,2,https://vancouver.craigslist.org/rds/reb/d/surrey-2-bed-2-bath-home-in-south-surrey/7147793237.html
63,529000,2,956,2 BED + 2 BATH HOME IN WILLOUGHBY!,Langley,2020-07-06T11:45:42-0700,unfurnished,condo,NA,2,https://vancouver.craigslist.org/rds/reb/d/langley-township-northwest-2-bed-2-bath/7154496103.html
64,589900,2,1,2 BED + DEN + 2.5 BATH IN LANGLEY!,Langley,2020-06-15T09:42:42-0700,unfurnished,condo,NA,2.5,https://vancouver.craigslist.org/rds/reb/d/langley-township-northwest-2-bed-den-25/7142220028.html
65,499000,2,806,2 BED + 1.5 BATH HOME IN GUILDFORD,North Surrey,2020-06-29T11:36:35-0700,unfurnished,condo,NA,1.5,https://vancouver.craigslist.org/rds/reb/d/surrey-north-2-bed-15-bath-home-in/7150596987.html
66,1524900,6,4458,Well Priced Brand New South Surrey House,"South Surrey, BC",2020-06-26T08:36:15-0700,unfurnished,house,attached garage,7,https://vancouver.craigslist.org/rds/reb/d/surrey-well-priced-brand-new-south/7148748938.html
67,465000,2,1060,Two bed & two bath CORNER unit!,Port Coquitlam,2020-07-10T09:06:26-0700,unfurnished,apartment,attached garage,2,https://vancouver.craigslist.org/pml/reb/d/port-coquitlam-south-two-bed-two-bath/7156851726.html
68,659999,3,176,Very Spacious Townhome!,Surrey,2020-07-10T08:59:19-0700,unfurnished,townhouse,NA,3,https://vancouver.craigslist.org/rds/reb/d/surrey-very-spacious-townhome/7156846188.html
69,1950000,3,,Stunning ocean views surround you in this beautiful Lions Bay home!,Lions Bay,2020-07-10T08:57:47-0700,unfurnished,house,NA,3.5,https://vancouver.craigslist.org/nvn/reb/d/north-island-stunning-ocean-views/7156845091.html
70,1550000,3,,"BUNGALOW IN THE SKY! ""ONE LEVEL LIVING""",New Westminster,2020-07-01T11:51:50-0700,unfurnished,condo,NA,3.5,https://vancouver.craigslist.org/bnc/reo/d/new-westminster-southwest-bungalow-in/7151818347.html
71,648888,3,,3Br 3 Bth Townhouse in Clayton Heights,NA,2020-07-10T08:49:56-0700,unfurnished,townhouse,NA,3,https://vancouver.craigslist.org/rds/reb/d/surrey-east-3br-3-bth-townhouse-in/7156839430.html
72,459000,2,,2 BR 2 BTH Condo in Boundary Park Surrey,NA,2020-07-10T08:49:22-0700,unfurnished,condo,NA,2,https://vancouver.craigslist.org/rds/reb/d/surrey-lower-west-2-br-2-bth-condo-in/7156839036.html
73,999000,5,,Queen Mary Park 5 Bedroom 3 Bathroom Home,NA,2020-07-10T08:25:28-0700,unfurnished,house,NA,3,https://vancouver.craigslist.org/rds/reb/d/surrey-outer-northwest-queen-mary-park/7156822087.html
74,188500,1,,LAKEFRONT SUITE OSOYOOS,OSOYOOS,2020-07-01T08:42:22-0700,furnished,apartment,NA,1,https://vancouver.craigslist.org/van/reo/d/osoyoos-lakefront-suite-osoyoos/7151682174.html
75,1149000,4,1556,Spacious Modern Half Duplex With Stunning Views And A Mortgage Helper!,"           (google map)
       ",2020-07-10T08:18:59-0700,unfurnished,duplex,attached garage,4,https://vancouver.craigslist.org/van/reb/d/vancouver-spacious-modern-half-duplex/7156817614.html
76,935000,3,1,♡ Renovated 3BR/2BA Townhouse near Robson st,West End Downtown Vancouver behind Robson st,2020-06-14T12:13:06-0700,furnished,townhouse,detached garage,2,https://vancouver.craigslist.org/van/reo/d/vancouver-renovated-3br-2ba-townhouse/7141739053.html
77,950000,3,1,♡ Renovated 3BR/2BA Townhouse for Sale,behind Robson st in DOWNTOWN Vancouver,2020-06-15T11:12:08-0700,unfurnished,townhouse,detached garage,2,https://vancouver.craigslist.org/van/reo/d/vancouver-renovated-3br-2ba-townhouse/7142290235.html
78,1950000,2,,4.1 Acres - Fraser Highway - Mt. Lehman,Abbotsford,2020-07-10T08:06:24-0700,unfurnished,house,NA,2,https://vancouver.craigslist.org/rds/reo/d/abbotsford-west-41-acres-fraser-highway/7156808735.html
79,1739000,3,1560,For Sale: 3 Bed 1 Den 3 Bath Townhouse in Vancouver (Near Oakridge Mall),Oakridge,2020-07-10T08:03:55-0700,unfurnished,townhouse,attached garage,2.5,https://vancouver.craigslist.org/van/reb/d/vancouver-for-sale-3-bed-1-den-3-bath/7156806934.html
80,409900,1,680,Beautiful 1 Bedroom 1 Den Unit!,Port Coquitlam,2020-07-10T07:29:38-0700,unfurnished,apartment,NA,1,https://vancouver.craigslist.org/pml/reb/d/port-coquitlam-beautiful-1-bedroom-1/7156784637.html
81,1200000,2,1,Stylish Indoor/Outdoor Living!,Vancouver,2020-07-10T07:21:51-0700,unfurnished,townhouse,NA,2,https://vancouver.craigslist.org/van/reb/d/vancouver-stylish-indoor-outdoor-living/7156779993.html
82,950000,2,,HOUSE For Sale on LARGE CORNER Lot 9500 sq ft,"Bolivar Heights, Surrey",2020-07-10T07:24:34-0700,unfurnished,house,NA,2,https://vancouver.craigslist.org/rds/reo/d/surrey-north-house-for-sale-on-large/7156781573.html
83,678000,2,1100,Rancher Townhome!,Surrey,2020-07-10T07:14:58-0700,unfurnished,house,NA,2,https://vancouver.craigslist.org/rds/reb/d/surrey-rancher-townhome/7156775700.html
84,1199000,4,,Beautiful 2 Level Home!,Surrey,2020-07-10T07:04:24-0700,unfurnished,house,NA,3,https://vancouver.craigslist.org/rds/reb/d/surrey-beautiful-2-level-home/7156769332.html
85,3880000,3,3115,Custom Built Home!,West Vancouver,2020-07-10T06:52:48-0700,unfurnished,house,NA,4,https://vancouver.craigslist.org/nvn/reb/d/lions-bay-custom-built-home/7156762541.html
86,NA,NA,NA,Wanted - Indian arm property,North Vancouver,2020-06-12T15:04:33-0700,unfurnished,apartment,NA,4,https://vancouver.craigslist.org/nvn/reo/d/north-vancouver-wanted-indian-arm/7140727772.html
87,1299000,5,,Bright South Facing Lot!,Langley,2020-07-10T06:26:28-0700,unfurnished,house,NA,3,https://vancouver.craigslist.org/rds/reb/d/langley-bright-south-facing-lot/7156748070.html
88,NA,NA,NA,FOR SALE INDUSTRIAL LAND,CAMPBELL HEIGHTS,2020-06-22T06:18:14-0700,unfurnished,apartment,NA,3,https://vancouver.craigslist.org/van/reo/d/surrey-east-for-sale-industrial-land/7146193751.html
89,675000,3,,Belizean Escape!,Hopkins/Stann Creek,2020-06-12T13:18:14-0700,furnished,house,street parking,3,https://vancouver.craigslist.org/rds/reo/d/vancouver-belizean-escape/7140659566.html
90,810000,6,6365,Building Lot for Sale Tynehead Fleetwood,North Surrey,2020-06-16T18:42:56-0700,unfurnished,land,NA,3,https://vancouver.craigslist.org/rds/reo/d/surrey-building-lot-for-sale-tynehead/7143183788.html
91,1,8,7800,** OPEN HOUSE JULY 12 FOR THE HOTTEST LISTING IN NEWTON **,"           (google map)
       ",2020-07-10T04:19:11-0700,unfurnished,house,NA,6,https://vancouver.craigslist.org/rds/reb/d/surrey-open-house-july-12-for-the/7156705341.html
92,1699900,3,,279 E 39th Ave - Open House Appt Times available Jul 12th 3-5,NA,2020-07-10T03:50:46-0700,unfurnished,house,attached garage,3,https://vancouver.craigslist.org/van/reb/d/vancouver-th-ave-open-house-appt-times/7156700311.html
93,1699000,NA,NA,8.07 ACRES - LAND ONLY- READY TO BUILD,NA,2020-07-10T02:19:44-0700,unfurnished,land,NA,3,https://vancouver.craigslist.org/rds/reb/d/delta-east-807-acres-land-only-ready-to/7156689553.html
94,100000,NA,NA,TRADE my FLORIDA for your POINT ROBERTS,POINT ROBERTS,2020-07-10T01:25:58-0700,unfurnished,land,NA,3,https://vancouver.craigslist.org/rds/reo/d/point-roberts-trade-my-florida-for-your/7156685119.html
95,2299888,7,7395,4 acres blue berry farm  7 yr 7600sq estate house,Sumas,2020-07-04T04:38:14-0700,unfurnished,house,NA,3,https://vancouver.craigslist.org/van/reo/d/4-acres-blue-berry-farm-7-yr-7600sq/7153291064.html
96,459900,2,818,OPEN HOUSE JULY 12 2-4PM @ 113-22315 122 AVENUE,Maple Ridge,2020-07-10T01:03:47-0700,unfurnished,apartment,attached garage,2,https://vancouver.craigslist.org/pml/reb/d/maple-ridge-open-house-july-pm-avenue/7156683312.html
97,NA,r,4,Developer-Investor Alert 1 acre Attached-Multi-Unit Residential,Mission,2020-07-10T00:42:33-0700,unfurnished,house,detached garage,3.5,https://vancouver.craigslist.org/pml/reb/d/mission-developer-investor-alert-1-acre/7156681578.html
98,1400000,6,51000,Live in Mission almost FREE / Hop on WCX / Work in Vancouver (Mission),Mission (BC),2020-07-10T00:41:25-0700,unfurnished,house,attached garage,4,https://vancouver.craigslist.org/pml/reb/d/mission-live-in-mission-almost-free-hop/7156681487.html
99,479000,2,984,2 bedroom apartment in Lynnmour,North Vancouver,2020-07-10T00:39:40-0700,unfurnished,apartment,NA,1,https://vancouver.craigslist.org/nvn/reb/d/north-vancouver-east-central-2-bedroom/7156681311.html
100,349500,1,715,1BR Condo,Coquitlam,2020-07-09T23:49:20-0700,unfurnished,condo,NA,1,https://vancouver.craigslist.org/pml/reb/d/port-coquitlam-north-1br-condo/7156676361.html
101,665000,1,665,Welcome to WEST FOURTH LIVING - 1 Bedroom Condo,Kitsilano / Vancouver,2020-07-09T23:47:18-0700,unfurnished,apartment,attached garage,1,https://vancouver.craigslist.org/van/reb/d/vancouver-welcome-to-west-fourth-living/7156676101.html
102,2200,2,770,$2200/2 BR/2Bath apartment in Richmond,Lansdowne,2020-07-01T16:55:26-0700,unfurnished,apartment,attached garage,2,https://vancouver.craigslist.org/rch/reo/d/richmond-br-2bath-apartment-in-richmond/7152003139.html
103,65999,3,1,"SUPER DEAL IN COZY Houses for sale under $120,000 move in ready",NA,2020-07-09T23:07:08-0700,unfurnished,house,detached garage,2,https://vancouver.craigslist.org/pml/reo/d/delta-super-deal-in-cozy-houses-for/7156671239.html
104,1379999,8,1,8 bedroom 2002 built house with 2 mortgage helpers,Surrey,2020-07-09T21:49:03-0700,unfurnished,apartment,NA,5.5,https://vancouver.craigslist.org/rds/reb/d/surrey-east-8-bedroom-2002-built-house/7156657755.html
105,299900,2,130,LAUNCHING SOON - EMERSON PARK 55+ Townhome=,Central Abbotsford,2020-07-09T22:42:51-0700,unfurnished,townhouse,attached garage,2,https://vancouver.craigslist.org/rds/reb/d/abbotsford-launching-soon-emerson-park/7156667542.html
106,1750,2,,Richmond Furnished 2 bedroom + 2 bath,Richmond,2020-07-09T22:23:02-0700,furnished,house,detached garage,2,https://vancouver.craigslist.org/rch/reb/d/richmond-richmond-furnished-2-bedroom-2/7156664210.html
107,NA,NA,NA,MAYNE ISLAND B.C. 4 LOTS FOR SALE,GULF ISLAND B.C.,2020-06-24T22:43:07-0700,unfurnished,apartment,NA,2,https://vancouver.craigslist.org/rds/reo/d/surrey-mayne-island-bc-4-lots-for-sale/7147991439.html
108,430000,2,105,Welcome to TUDOR PLACE | 2 Bed 2 Bath 2 Storey Townhome,Langley,2020-07-09T21:52:22-0700,unfurnished,townhouse,NA,1.5,https://vancouver.craigslist.org/rds/reb/d/langley-welcome-to-tudor-place-2-bed-2/7156658422.html
109,354162,2,1348,2 BED CONDO IN GREAT ADULT COMPLEX,Langley City / Douglas Park,2020-07-09T21:33:36-0700,unfurnished,apartment,attached garage,2,https://vancouver.craigslist.org/rds/reb/d/langley-2-bed-condo-in-great-adult/7156654660.html
110,810000,6,6365,Lot for Sale Tynehead Fleetwood,North Surrey,2020-06-16T18:18:30-0700,unfurnished,land,NA,2,https://vancouver.craigslist.org/rds/reo/d/surrey-lot-for-sale-tynehead-fleetwood/7143174031.html
111,285900,1,818,large  1 bedroom + den 818 square f t,cloverdale neighbourhood,2020-06-28T06:49:21-0700,unfurnished,apartment,street parking,1,https://vancouver.craigslist.org/rds/reo/d/surrey-large-1-bedroom-den-818-square-t/7149848112.html
112,618000,NA,NA,Corner suite for sale: 2bed/ba,Coquitlam,2020-07-02T21:12:49-0700,unfurnished,apartment,NA,1,https://vancouver.craigslist.org/pml/reo/d/port-coquitlam-north-corner-suite-for/7152677537.html
113,1680000,4,,15023 21B AVENUE,South Surrey White Rock,2020-07-05T18:53:23-0700,unfurnished,apartment,attached garage,3,https://vancouver.craigslist.org/rds/reo/d/surrey-b-avenue/7154123856.html
114,NA,NA,NA,"Design, Drafting, CAD, Taught the building",28 years of local experience,2020-06-20T18:02:51-0700,unfurnished,house,NA,3,https://vancouver.craigslist.org/bnc/reo/d/vancouver-design-drafting-cad-taught/7145581008.html
115,869000,3,,3 Bedroom/3 Bathroom Townhouse in Treetops Heritage Mountain,Port Moody,2020-07-09T19:46:42-0700,unfurnished,townhouse,attached garage,3,https://vancouver.craigslist.org/pml/reb/d/port-moody-3-bedroom-3-bathroom/7156626542.html
116,NA,NA,NA,2 BED 1 BATH CORNER UNIT CONDO WITH LARGE BALCONY,SURREY,2020-07-09T19:28:58-0700,unfurnished,condo,NA,3,https://vancouver.craigslist.org/rds/reb/d/surrey-2-bed-1-bath-corner-unit-condo/7156620731.html
