,Price,Bedroom,Area,Title,Place,Post Timing,Finishing,House Type,Parking Type,Bathroom,Link
13,695000,6,679,Assignment 2 bedroom concrete high rise with central air conditioning,Metrotown,2020-07-10T14:22:00-0700,unfurnished,apartment,NA,1,https://vancouver.craigslist.org/bnc/reb/d/burnaby-assignment-2-bedroom-concrete/7157079023.html
14,1499000,2,186,Breathtaking seaview new luxury WHITE ROCK SUBPENTHOUSE ASSIGNMENT,NA,2020-07-10T14:20:09-0700,unfurnished,condo,NA,2,https://vancouver.craigslist.org/rds/reb/d/white-rock-breathtaking-seaview-new/7157077797.html
15,369999,1,5,"1 bed $369,999 at king george skytrain!  1710 13688 100 Ave",Whalley,2020-07-19T11:41:37-0700,unfurnished,apartment,NA,1,https://vancouver.craigslist.org/rds/reb/d/surrey-inner-northwest-1-bed-at-king/7162207676.html
16,1849000,2,1,Luxury Condo in Olympic Village with views,Vancouver,2020-07-25T13:17:05-0700,unfurnished,condo,attached garage,2,https://vancouver.craigslist.org/van/reo/d/vancouver-luxury-condo-in-olympic/7165887768.html
17,3298000,5,5387,Absolutely Stunning Custom Built 5BR 5BA House in the Grand Boulevard.,1707 GRAND BOULEVARD,2020-07-25T13:16:31-0700,unfurnished,house,detached garage,5,https://vancouver.craigslist.org/nvn/reb/d/north-vancouver-absolutely-stunning/7165887432.html
18,5350000,8,5630,Luxury 8BR + 10BA Home with OCEAN VIEW & LIONS GATE BRIDGE,West Vancouver,2020-07-25T13:16:11-0700,unfurnished,house,attached garage,9+,https://vancouver.craigslist.org/van/reb/d/west-vancouver-luxury-8br-10ba-home/7165887196.html
19,2088000,8,357,Custom Built Home w/ High Income Potential,Renfrew - Hastings Sunrise,2020-07-25T13:15:52-0700,unfurnished,house,NA,6,https://vancouver.craigslist.org/van/reb/d/vancouver-custom-built-home-high-income/7165886997.html
20,4188000,6,5655,Stunning Dream Home situated in serene Forest Hills,North Vancouver,2020-07-25T13:15:35-0700,unfurnished,house,attached garage,8,https://vancouver.craigslist.org/nvn/reb/d/north-vancouver-stunning-dream-home/7165886832.html
21,615000,3,,Escape to Paradise!,Semiahmoo,2020-07-04T11:49:25-0700,unfurnished,house,attached garage,3,https://vancouver.craigslist.org/van/reo/d/white-rock-escape-to-paradise/7153490063.html
22,NA,NA,NA,Own a home and need extra cash?,"Surrey, BC",2020-07-12T19:58:33-0700,unfurnished,house,NA,3,https://vancouver.craigslist.org/van/reb/d/surrey-northeast-own-home-and-need/7158332054.html
23,720000,4,1900,4 bedroom townhouse in Panorama Mews,Surrey BC,2020-07-10T22:43:23-0700,unfurnished,townhouse,attached garage,3,https://vancouver.craigslist.org/rds/reb/d/surrey-lower-west-4-bedroom-townhouse/7157271073.html
24,639000,2,,Townhouses / Fleetwood Point 5% down!,"Fleetwood, Surrey, BC",2020-07-10T12:15:27-0700,unfurnished,apartment,NA,3,https://vancouver.craigslist.org/rds/reb/d/surrey-northeast-townhouses-fleetwood/7156993501.html
25,1349000,7,3394,2 Level Home with TWO Rental Suites ( (2+1) Rental Basement,Surrey,2020-07-17T13:23:23-0700,unfurnished,house,attached garage,6,https://vancouver.craigslist.org/rds/reb/d/surrey-2-level-home-with-two-rental/7161160716.html
26,NA,NA,NA,Subdivision . Land development Engineering offered,Surrey,2020-07-25T12:40:00-0700,unfurnished,apartment,NA,6,https://vancouver.craigslist.org/rds/reo/d/surrey-northeast-subdivision-land/7165863407.html
27,1450000,5,3470,Best Deal In Town Brand new house,South Surrey,2020-07-15T09:04:52-0700,unfurnished,house,attached garage,5,https://vancouver.craigslist.org/rds/reo/d/langley-best-deal-in-town-brand-new/7159766664.html
28,NA,r,7566,House for sale,Surrey,2020-07-25T12:34:32-0700,unfurnished,house,NA,3,https://vancouver.craigslist.org/rds/reo/d/surrey-outer-northwest-house-for-sale/7165859744.html
29,1400000,6,51000,Live in Mission almost FREE / Hop on WCX / Work in Vancouver (Mission),Mission (BC),2020-07-10T00:41:25-0700,unfurnished,house,attached garage,4,https://vancouver.craigslist.org/pml/reb/d/mission-live-in-mission-almost-free-hop/7156681487.html
30,2216000,7,4,Developer-Investor Alert 1 acre Attached-Multi-Unit Residential,Mission,2020-07-10T00:42:33-0700,unfurnished,house,detached garage,3.5,https://vancouver.craigslist.org/pml/reb/d/mission-developer-investor-alert-1-acre/7156681578.html
31,774800,1,909,fab location  !rare !  mt pleasant loft 336 east 1st,vancouver/ mt pleasant/main street,2020-07-25T12:20:32-0700,unfurnished,apartment,NA,0,https://vancouver.craigslist.org/van/reb/d/vancouver-fab-location-rare-mt-pleasant/7165849923.html
32,NA,NA,NA,Howe Sound Realtor with Boat,"Gambier Island, Keats Island, Howe Sound",2020-07-17T11:23:35-0700,unfurnished,NA,NA,NA,https://vancouver.craigslist.org/nvn/reb/d/port-mellon-howe-sound-realtor-with-boat/7161073395.html
33,999000,3,1,"Lot 8 - Daisy Bay, Gambier Island Waterfront! 2 Cabins!",Gambier Island,2020-07-17T11:22:49-0700,unfurnished,NA,NA,2,https://vancouver.craigslist.org/van/reb/d/bowen-island-lot-8-daisy-bay-gambier/7161072835.html
34,2600,4,,Spacious 4 bedrooms house for rent,Richmond,2020-06-29T12:03:17-0700,furnished,house,street parking,2,https://vancouver.craigslist.org/rch/reb/d/richmond-spacious-4-bedrooms-house-for/7150617467.html
35,485000,2,895,2600 E 49 Ave 2  bed 1 bath  Aprt,VANCOUVER,2020-07-11T11:00:30-0700,unfurnished,apartment,attached garage,1,https://vancouver.craigslist.org/van/reo/d/vancouver-ave-2-bed-1-bath-aprt/7157530904.html
36,649888,1,533,1 Bedroom Apartment Downtown Vancouver #1108 833 HOMER STREET,Downtown Vancouver,2020-07-25T11:41:04-0700,unfurnished,apartment,attached garage,1,https://vancouver.craigslist.org/van/reo/d/vancouver-1-bedroom-apartment-downtown/7165821782.html
37,2199000,4,3784,"Beautiful Residence - Home in Richmond. 4 Beds, 4 Baths",Richmond,2020-07-25T11:40:41-0700,unfurnished,house,NA,4,https://vancouver.craigslist.org/rch/reb/d/beautiful-residence-home-in-richmond-4/7165821490.html
38,1358000,4,1960,Burnaby 1/2 duplex for sale,Central Park,2020-07-15T09:55:43-0700,unfurnished,duplex,detached garage,3.5,https://vancouver.craigslist.org/bnc/reb/d/burnaby-burnaby-1-2-duplex-for-sale/7159804776.html
39,1049000,6,39,"""Great Room Plan"" Room for everyone!",Maple Ridge,2020-07-07T13:35:10-0700,unfurnished,house,attached garage,5,https://vancouver.craigslist.org/pml/reb/d/maple-ridge-great-room-plan-room-for/7155206902.html
40,NA,0,3000,Store on 3000 sq on Granville Entertainment District and Yaletown,1132 Granville St. Next Chateau Granville Best Western Hotel,2020-07-25T11:10:21-0700,unfurnished,apartment,NA,5,https://vancouver.craigslist.org/van/reo/d/store-on-3000-sq-on-granville/7165799457.html
41,579900,3,1538,Family Townhome -Great Location!  Reduced!,Maple Ridge,2020-07-07T11:29:23-0700,unfurnished,townhouse,attached garage,2.5,https://vancouver.craigslist.org/pml/reb/d/maple-ridge-family-townhome-great/7155113812.html
42,279900,1,678,"First Time Buyer alert $279,900 - River View",Maple Ridge,2020-07-22T14:11:10-0700,unfurnished,apartment,street parking,1,https://vancouver.craigslist.org/pml/reb/d/maple-ridge-first-time-buyer-alert/7164126468.html
43,5995,3,3000,"Location, Location, Granville Downtown, Edge of Yaletown $5995.00","3000.sq.ft,Granville and Davie at Yaletown",2020-07-25T11:08:56-0700,unfurnished,apartment,NA,1,https://vancouver.craigslist.org/van/reo/d/vancouver-location-location-granville/7165798462.html
44,370000,5,3606,"Renovated stone house in Gualdo, Le Marche, Italy",NA,2020-07-18T21:24:59-0700,unfurnished,house,attached garage,2,https://vancouver.craigslist.org/van/reo/d/north-vancouver-renovated-stone-house/7161953568.html
45,NA,r,1,Downtown Granville Commercial & Residential Building,Downtown Entertainment District,2020-07-25T11:06:33-0700,unfurnished,apartment,NA,9+,https://vancouver.craigslist.org/van/reo/d/vancouver-downtown-granville-commercial/7165796673.html
46,125000,1,1300,HOUSE FOR SALE LARGE WITH CHARACTER ON WARM VANCOUVER ISLAND,NA,2020-07-25T10:43:18-0700,unfurnished,house,NA,9+,https://vancouver.craigslist.org/van/reo/d/vancouver-house-for-sale-large-with/7165779213.html
47,65999,3,1,"2 WONDERFUL CHARACTER Houses for sale under $120,000 move in ready",NA,2020-07-25T10:43:57-0700,unfurnished,house,detached garage,2,https://vancouver.craigslist.org/pml/reo/d/delta-2-wonderful-character-houses-for/7165779727.html
48,538500,1,790,**Granville Island Beauty**,False Creek,2020-07-15T23:29:44-0700,unfurnished,apartment,attached garage,1,https://vancouver.craigslist.org/van/reb/d/vancouver-granville-island-beauty/7160189038.html
49,348000,2,880,"Tell us what you think! Condos in Surrey. 2 Beds, 1 Baths",Surrey,2020-07-25T10:37:05-0700,unfurnished,condo,NA,1,https://vancouver.craigslist.org/bnc/reb/d/tell-us-what-you-think-condos-in-surrey/7165774684.html
50,348000,2,880,"Tell us what you think! Condos in Surrey. 2 Beds, 1 Baths",Surrey,2020-07-25T10:36:19-0700,unfurnished,condo,NA,1,https://vancouver.craigslist.org/rds/reb/d/tell-us-what-you-think-condos-in-surrey/7165774182.html
51,1550000,3,,"BUNGALOW IN THE SKY! ""ONE LEVEL LIVING""",New Westminster,2020-07-01T11:51:50-0700,unfurnished,condo,NA,3.5,https://vancouver.craigslist.org/bnc/reo/d/new-westminster-southwest-bungalow-in/7151818347.html
52,2000000,NA,NA,"12 + acres ,Parks are over packed buy your own",Maple Ridge,2020-07-19T11:24:26-0700,unfurnished,apartment,NA,3.5,https://vancouver.craigslist.org/pml/reo/d/maple-ridge-northwest-12-acres-parks/7162196415.html
53,698000,2,969,2 bedroom 969 SF PORT MOODY Assignment COST PRICE,NA,2020-07-06T21:28:38-0700,unfurnished,condo,attached garage,2,https://vancouver.craigslist.org/bnc/reb/d/port-moody-2-bedroom-969-sf-port-moody/7154799479.html
54,578888,3,1377,Duplex Style Town Home in Legends!,Surrey,2020-07-25T09:54:06-0700,unfurnished,townhouse,NA,3,https://vancouver.craigslist.org/rds/reb/d/surrey-duplex-style-town-home-in-legends/7165742591.html
55,2535000,4,,Main St. Living!,Vancouver,2020-07-25T09:46:17-0700,unfurnished,house,NA,4,https://vancouver.craigslist.org/van/reb/d/vancouver-main-st-living/7165736784.html
56,366000,3,1100,"PRICED TO SELL, Motivated Seller, top floor 3 BR condo in Downtown PoC",Port Coquitlam,2020-07-25T09:45:35-0700,unfurnished,apartment,NA,1,https://vancouver.craigslist.org/pml/reo/d/port-coquitlam-south-priced-to-sell/7165736267.html
57,2598000,4,6007,Beautiful Country Style Home!,Surrey,2020-07-25T09:36:11-0700,unfurnished,house,NA,4,https://vancouver.craigslist.org/rds/reb/d/surrey-beautiful-country-style-home/7165729475.html
58,5198000,2,,Olympic Village Exclusive Penthouse w/ Huge Deck & View,Vancouver,2020-07-25T09:24:04-0700,unfurnished,condo,street parking,2.5,https://vancouver.craigslist.org/van/reb/d/vancouver-olympic-village-exclusive/7165720772.html
59,849000,2,780,Upper level 2-bed 2-bath in Lower Lonsdale,North Vancouver,2020-07-25T09:15:34-0700,unfurnished,apartment,attached garage,2,https://vancouver.craigslist.org/nvn/reb/d/north-vancouver-upper-level-2-bed-2/7165714556.html
60,474900,2,1180,2 Bed 2 washroom in Surrey,Surrey,2020-07-25T08:38:30-0700,unfurnished,apartment,attached garage,2,https://vancouver.craigslist.org/bnc/reb/d/surrey-2-bed-2-washroom-in-surrey/7165688626.html
61,1468000,4,1919,Beautiful 4 bed/2bath Home in Cedar Cottage,"Fraser, Vancouver East",2020-07-04T10:10:44-0700,unfurnished,house,attached garage,2,https://vancouver.craigslist.org/van/reb/d/vancouver-beautiful-4-bed-2bath-home-in/7153434035.html
62,2999000,4,1919,7.314 Acres 2 Houses W/large Wood Working Shop,Abbotsford,2020-07-07T08:44:01-0700,unfurnished,house,NA,3,https://vancouver.craigslist.org/van/reo/d/abbotsford-7314-acres-2-houses-large/7154986428.html
63,2999000,4,1919,7.314 Acres 2 Houses W/large Wood Working Shop,Abbotsford,2020-07-07T08:47:33-0700,unfurnished,house,NA,3,https://vancouver.craigslist.org/rch/reo/d/abbotsford-7314-acres-2-houses-large/7154989054.html
64,2999000,4,1919,7.314 Acres 2 Houses W/large Wood Working Shop,Abbotsford,2020-07-07T08:51:04-0700,unfurnished,house,NA,3,https://vancouver.craigslist.org/bnc/reo/d/abbotsford-7314-acres-2-houses-large/7154991652.html
65,2999000,4,3800,7.314 Acres 2 Houses W/large Wood Working Shop,Abbotsford,2020-07-07T08:54:24-0700,unfurnished,house,NA,3,https://vancouver.craigslist.org/rds/reo/d/abbotsford-7314-acres-2-houses-large/7154994142.html
66,1400,1,566,Guildford Mosaic 1 Bed Room Apartment with Garden,Surrey,2020-07-12T12:36:53-0700,furnished,apartment,detached garage,1,https://vancouver.craigslist.org/rds/reo/d/surrey-guildford-mosaic-1-bed-room/7158125887.html
67,850000,3,566,3 BEDROOM RANCHER,CLOVERDALE,2020-07-25T08:02:11-0700,unfurnished,house,NA,1,https://vancouver.craigslist.org/rds/reo/d/surrey-east-3-bedroom-rancher/7165664149.html
68,423000,4,471,950 Drake - potential for buyout through future re-development,Vancouver,2020-07-06T20:55:01-0700,unfurnished,condo,no parking,1,https://vancouver.craigslist.org/van/reb/d/vancouver-950-drake-potential-for/7154791033.html
69,825000,2,1177,3788 Norfolk Street,NA,2020-07-14T20:30:19-0700,unfurnished,townhouse,NA,3,https://vancouver.craigslist.org/bnc/reb/d/burnaby-3788-norfolk-street/7159557582.html
70,729000,2,815,1232 Harwood Street,West end,2020-07-16T20:34:36-0700,unfurnished,house,attached garage,1,https://vancouver.craigslist.org/van/reb/d/vancouver-1232-harwood-street/7160755384.html
71,1188000,3,1,Fabulous Vancouver 3 B/R Townhouse.,63 Keefer Place,2020-07-25T07:58:51-0700,unfurnished,townhouse,attached garage,3,https://vancouver.craigslist.org/van/reb/d/fabulous-vancouver-3-r-townhouse/7165661755.html
72,NA,NA,NA,✔ CONSTRUCTION TIME-LAPSE,Surrey,2020-07-12T22:09:24-0700,unfurnished,apartment,NA,3,https://vancouver.craigslist.org/rds/reo/d/construction-time-lapse/7158362963.html
73,839800,NA,NA,Large family end unit Townhouse-The Crossing,Summerfield South Surrey,2020-06-30T20:22:56-0700,unfurnished,townhouse,NA,3,https://vancouver.craigslist.org/rds/reb/d/surrey-large-family-end-unit-townhouse/7151486832.html
74,105000,2,600,Maple Ridge Mobile Home for Sale,Maple Ridge,2020-07-25T07:21:05-0700,unfurnished,NA,street parking,1,https://vancouver.craigslist.org/van/reo/d/maple-ridge-maple-ridge-mobile-home-for/7165639542.html
75,3970000,3,3003,Beautiful House with Open Concept!,Vancouver,2020-07-25T06:53:16-0700,unfurnished,house,NA,6,https://vancouver.craigslist.org/van/reb/d/vancouver-beautiful-house-with-open/7165624057.html
76,938000,2,919,2 Bedroom Condo in Sought After Solo 2,Brentwood,2020-07-24T23:50:59-0700,unfurnished,condo,attached garage,2,https://vancouver.craigslist.org/bnc/reb/d/burnaby-2-bedroom-condo-in-sought-after/7165544773.html
77,3690000,5,4178,Spacious contemporary solid home in the heart of Ambleside,1489 Haywood Ave,2020-07-24T23:50:36-0700,unfurnished,house,attached garage,5,https://vancouver.craigslist.org/van/reb/d/west-vancouver-spacious-contemporary/7165544730.html
78,4628000,5,5001,PANORAMIC 180 degree OCEAN & CITY VIEWS in the desirable Westhill,West Vancouver,2020-07-24T23:49:29-0700,unfurnished,house,attached garage,5,https://vancouver.craigslist.org/van/reb/d/west-vancouver-panoramic-180-degree/7165544585.html
79,NA,NA,NA,Want to buy acreage,Maple Ridge,2020-07-24T23:42:23-0700,unfurnished,house,NA,5,https://vancouver.craigslist.org/pml/reo/d/surrey-want-to-buy-acreage/7165543780.html
80,399900,2,8,Top Floor Downtown Cloverdale!,Cloverdale,2020-07-24T22:15:32-0700,unfurnished,apartment,NA,1,https://vancouver.craigslist.org/rds/reo/d/surrey-top-floor-downtown-cloverdale/7165530928.html
81,1240000,7,3600,►►Open House Today◄◄ Brand New Custom Built 7 Bed + 5 Bath House,"Surrey, BC",2020-07-24T22:09:57-0700,unfurnished,house,detached garage,5,https://vancouver.craigslist.org/van/reo/d/surrey-lower-west-open-house-today/7165529967.html
82,820000,2,9,2 Bedroom + Den / 2 Bathroom Condo,North Vancouver,2020-07-24T22:00:50-0700,unfurnished,house,attached garage,2,https://vancouver.craigslist.org/nvn/reb/d/north-vancouver-2-bedroom-den-2/7165528281.html
83,1100000,4,1875,4 bedroom + 2 bath half duplex home  w. 1 bed mortgage helper,Burnaby,2020-07-24T21:59:59-0700,unfurnished,house,NA,4,https://vancouver.craigslist.org/bnc/reb/d/burnaby-4-bedroom-2-bath-half-duplex/7165528107.html
84,1,NA,NA,**HOUSE FOR SALE IN NEWTON**,EAST NEWTON,2020-07-18T20:19:32-0700,unfurnished,house,NA,4,https://vancouver.craigslist.org/rds/reb/d/surrey-east-house-for-sale-in-newton/7161939101.html
85,1,NA,NA,**HOUSE FOR SALE IN FLEETWOOD**,fleetwood,2020-07-18T20:31:25-0700,unfurnished,house,NA,4,https://vancouver.craigslist.org/rds/reb/d/surrey-northeast-house-for-sale-in/7161942022.html
86,1,NA,NA,**HOUSE FOR SALE IN PANORAMA RIDGE**,PANORAMA RIDGE,2020-07-18T20:38:50-0700,unfurnished,house,NA,4,https://vancouver.craigslist.org/rds/reb/d/surrey-lower-west-house-for-sale-in/7161943731.html
87,1,NA,NA,**BRAND NEW HOUSE IN WHITEROCK**,WHTEROCK,2020-07-18T20:43:52-0700,unfurnished,house,NA,4,https://vancouver.craigslist.org/rds/reb/d/white-rock-brand-new-house-in-whiterock/7161944851.html
88,NA,NA,NA,**BRAND NEW BUILD IN SOUTH SURREY**,SOUTH SURREY,2020-07-18T20:51:21-0700,unfurnished,apartment,NA,4,https://vancouver.craigslist.org/rds/reb/d/surrey-brand-new-build-in-south-surrey/7161946542.html
89,NA,NA,NA,**BRAND NEW HOUSE FOR SALE IN PANORAMA RIDGE**,PANORAMA RIDGE,2020-07-18T20:57:54-0700,unfurnished,apartment,NA,4,https://vancouver.craigslist.org/rds/reb/d/surrey-lower-west-brand-new-house-for/7161947953.html
90,1,5,5000,**BRAND NEW BUILD IN FLEETWOOD**,"16180 96B AVE, SURREY BC",2020-07-18T20:14:23-0700,unfurnished,house,NA,4,https://vancouver.craigslist.org/rds/reb/d/surrey-northeast-brand-new-build-in/7161937953.html
91,65999,3,1,"2 WONDERFUL CHARACTER Houses for sale under $120,000 move in ready",NA,2020-07-09T08:35:35-0700,unfurnished,house,detached garage,2,https://vancouver.craigslist.org/pml/reo/d/delta-2-wonderful-character-houses-for/7156222489.html
92,1588000,6,1,Prime Investment Property in Norquay OCP,Vancouver,2020-07-17T13:51:30-0700,unfurnished,house,NA,2,https://vancouver.craigslist.org/van/reb/d/vancouver-prime-investment-property-in/7161179278.html
93,NA,r,7771,*** BEST PRICED 3 STOREY HOME IN NEWTON WITH 2+1 ***,East Newton,2020-07-24T20:55:35-0700,unfurnished,house,NA,6,https://vancouver.craigslist.org/rds/reb/d/surrey-best-priced-3-storey-home-in/7165514445.html
94,NA,NA,NA,i will buy your house,NA,2020-07-24T20:36:18-0700,unfurnished,house,NA,6,https://vancouver.craigslist.org/rds/reo/d/will-buy-your-house/7165509645.html
95,1499999,7,4138,Executive Home For Sale in Executive Neighborhood,boundary park/panarama ridge,2020-07-24T20:34:23-0700,unfurnished,house,attached garage,6.5,https://vancouver.craigslist.org/rds/reo/d/surrey-executive-home-for-sale-in/7165509145.html
96,1499999,7,4138,Executive Home For Sale in Executive Neighborhood,boundary park/panarama ridge,2020-07-24T20:33:30-0700,unfurnished,house,attached garage,6.5,https://vancouver.craigslist.org/rds/reo/d/surrey-executive-home-for-sale-in/7165508927.html
97,1080000,2,1113,Luxurious Townhome with Large Patio,Fairview,2020-07-24T20:01:56-0700,unfurnished,townhouse,attached garage,2,https://vancouver.craigslist.org/van/reb/d/vancouver-luxurious-townhome-with-large/7165500180.html
98,986000,1,1160,3Br+den / 1160 ft2 / Metrotown high-rise,Burnaby,2020-07-07T01:09:15-0700,unfurnished,apartment,NA,2,https://vancouver.craigslist.org/bnc/reo/d/burnaby-3brden-1160-ft2-metrotown-high/7154830955.html
99,NA,NA,NA,FOR SALE - 5 BED 3 BATH 2 STORY SINGLE FAMILY HOME,NORTH DELTA,2020-07-15T19:15:13-0700,unfurnished,house,NA,2,https://vancouver.craigslist.org/rds/reb/d/delta-for-sale-5-bed-3-bath-2-story/7160131904.html
100,NA,NA,NA,UNBEATABLE CONDO UNIT PRICE! NOW ON MLS! SHOW NOW!,SURREY,2020-07-09T12:08:27-0700,unfurnished,condo,NA,2,https://vancouver.craigslist.org/rds/reb/d/surrey-unbeatable-condo-unit-price-now/7156382594.html
101,NA,NA,NA,THIS LOVELY APARTMENT OFFERS 2 BED 2 BATH AND RENOVATED A YEAR AGO 👍,SURREY,2020-07-17T21:56:28-0700,unfurnished,apartment,NA,2,https://vancouver.craigslist.org/rds/reb/d/surrey-this-lovely-apartment-offers-2/7161384821.html
102,NA,NA,NA,NOW IS THE TIME TO OWN A PROPERTY RATHER THAN RENTING! 👍👍👍,SOUTH SURREY,2020-07-17T21:47:33-0700,unfurnished,apartment,NA,2,https://vancouver.craigslist.org/rds/reb/d/surrey-now-is-the-time-to-own-property/7161383028.html
103,NA,NA,NA,RECENTLY RENOVATED HOUSE WITH 4 BED 4 BATH EXCLUSIVE LISTING,DELTA,2020-06-26T20:03:35-0700,unfurnished,house,NA,2,https://vancouver.craigslist.org/rds/reb/d/delta-recently-renovated-house-with-4/7149154205.html
104,NA,NA,NA,JUST LISTED! SINGLE FAMILY HOME WITH 1 MORTGAGE HELPER,DELTA,2020-06-26T19:52:07-0700,unfurnished,house,NA,2,https://vancouver.craigslist.org/rds/reb/d/delta-just-listed-single-family-home/7149150786.html
105,NA,NA,NA,THIS MAY NOT TAKE ANYMORE LONGER ON THE MARKET! BOOK YOUR APPOINTMENT!,SURREY,2020-07-17T21:41:33-0700,unfurnished,apartment,NA,2,https://vancouver.craigslist.org/bnc/reb/d/surrey-this-may-not-take-anymore-longer/7161381795.html
106,1499900,4,,A log home for a happy life,Maple Ridge,2020-07-19T22:53:20-0700,unfurnished,house,NA,2,https://vancouver.craigslist.org/pml/reo/d/maple-ridge-northwest-log-home-for/7162485273.html
107,684900,NA,NA,AMAZING Assignment Pre-Sale Unit at 567 Clarke + Como Development,Burquitlam,2020-07-03T15:44:48-0700,unfurnished,condo,NA,2,https://vancouver.craigslist.org/bnc/reb/d/coquitlam-amazing-assignment-pre-sale/7153122913.html
108,1680000,4,,15023 21B AVENUE,South Surrey White Rock,2020-07-05T18:53:23-0700,unfurnished,apartment,attached garage,3,https://vancouver.craigslist.org/rds/reo/d/surrey-b-avenue/7154123856.html
109,1895000,2,1179,"4.94 Acreage With House In Serpentine, Cloverdale",Surrey,2020-07-20T10:59:26-0700,unfurnished,house,NA,1,https://vancouver.craigslist.org/rds/reb/d/surrey-494-acreage-with-house-in/7162764434.html
110,689000,1,600,Luxury 1-bedroom with massive patio / 9’ ceilings / AC,Vancouver,2020-07-12T10:00:10-0700,unfurnished,apartment,attached garage,1,https://vancouver.craigslist.org/van/reo/d/north-vancouver-luxury-1-bedroom-with/7158025345.html
111,299000,NA,NA,2018 Build Condo,Clayton,2020-07-24T17:49:22-0700,unfurnished,apartment,NA,1,https://vancouver.craigslist.org/rds/reb/d/surrey-2018-build-condo/7165453499.html
112,1789999,6,6875,"** CLOVERDALE’S NEW MASTERPIECE, 9 BED 9 BATH & 2+2 BSMTS **",Cloverdale,2020-07-24T17:44:07-0700,unfurnished,house,NA,1,https://vancouver.craigslist.org/rds/reb/d/surrey-cloverdales-new-masterpiece-9/7165451308.html
113,998,3,,Townhouse,Richmond,2020-07-24T17:38:41-0700,unfurnished,townhouse,detached garage,3,https://vancouver.craigslist.org/van/reo/d/richmond-townhouse/7165449042.html
114,498000,1,630,Welcome to Central Lonsdales' Best Kept Secret..Alegria!,Central Lonsdale,2020-07-24T17:38:21-0700,unfurnished,apartment,attached garage,1,https://vancouver.craigslist.org/nvn/reb/d/north-vancouver-welcome-to-central/7165448900.html
115,4188000,6,5655,Stunning Dream Home situated in serene Forest Hills,North Vancouver,2020-07-24T17:38:06-0700,unfurnished,house,attached garage,8,https://vancouver.craigslist.org/nvn/reb/d/north-vancouver-stunning-dream-home/7165448790.html
